Barcode	label_verbatim	Country	lat_manual	long_manual	radius_km_manual
ODO000039	Assam, 5500ft., Khasi Hills, Laitlyng Kut	India	25.447396	91.8405	1.0
ODO000040	Assam, Cachar	India	24.78331	92.915721	55.0
ODO000041	Assam, Khasia Hills	India	25.604061	91.45192	65.0
ODO000042	Assam, Kumaon, 7000ft	India	29.6	79.7	120.0
ODO000043	Assam, Shillong	India	25.58547	91.890374	9.0
ODO000044	Assam, Sylhet		24.801065	91.980168	85.0
ODO000045	Assam: Darjeeling Distr., Rungbong Valley, Gopaldhara		26.924798	88.156879	2.0
ODO000046	Assam: Khasi Hills	India	25.604061	91.45192	65.0
ODO000047	Assam; 5000 ft., Shillong	India	25.58547	91.890374	9.0
ODO000048	Assam; 5000 ft., Shillong; Crinoline Falls	India	25.563708	91.882286	0.2
ODO000049	Assam; 5000 ft., Shillong; Sunshine Falls	India	25.58547	91.890374	9.0
ODO000050	Assob Falls, Nigeria	Nigeria	9.583373	8.616651	1.0
ODO000051	Astrabad, Persia	Iran	36.845322	54.443233	9.0
ODO000052	Aswa R., Acholi, Uganda	Uganda	2.624688	31.831045	42.0
ODO000053	Aswa R., Karamoja Suk, Uganda	Uganda	2.624688	31.831045	42.0
ODO000054	Atherton	Australia	-17.266452	145.484299	8.0
ODO000055	Atherton, N.Q.	Australia	-17.266452	145.484299	8.0
ODO000056	Atoyac, Vera Cruz	Mexico	18.912675	-96.778926	1.0
ODO000057	Atoyac, Vera Cruz.	Mexico	18.912675	-96.778926	1.0
ODO000058	Azores: Pico	Portugal	38.457951	-28.360862	3.5
ODO000059	B.E. Africa, Kenya, Thoura Forest, Meru, 5,500ft.	Kenya	0.047595	37.643867	12.0
ODO000060	B.E.Africa, Kenya, Meru, 6,000ft	Kenya	0.047595	37.643867	3.0
ODO000061	B.N. Borneo, Mt. Kinabalu, Kiau, 3,000 ft.	Borneo	6.021444	116.489465	2.0
ODO000062	Bababuddin Hills, Mysore 4700'	India	13.495125	75.758611	20.0
ODO000063	Bahreh, Egypt	Egypt	28.383347	28.909453	1.0
ODO000064	Baie Ngo; New Caledonia	New Caledonia	-22.147097	166.234921	2.5
ODO000065	Bali	Indonesia	-8.35684	115.080182	75.0
ODO000066	Bandama River, 40km. N. of Korhogo, Ivory Coast	Cote d'Ivoire	9.808106	-5.737287	9.0
ODO000067	Bandama River, Ferkessedougou, Ivory Coast	Cote d'Ivoire	9.555812	-5.298296	6.0
ODO000068	Bangkok	Thailand	13.756322	100.614201	40.0
ODO000069	Bankok, Police Dept. Kohsichang	Thailand	13.16042	100.810131	0.1
ODO000070	Banks Is.	Australia	-10.187091	142.268148	9.5
ODO000071	Banks' Is., N.Q.	Australia	-10.187091	142.268148	9.5
ODO000072	Barberton	South Africa	-25.774878	31.043507	4.0
ODO000073	Barog, 5000', Simla Hills	India	30.888386	77.078648	1.0
ODO000074	Basra	Iraq	30.522819	47.759508	18.0
ODO000075	Batolo Forest, 30m W. Kampala, Uganda	Uganda	0.321172	32.153727	4.5
ODO000076	Belg. Congo, Eala	Democratic Republic of the Congo	0.041705	18.33564	1.0
ODO000077	Belize, Rio Temash	Belize	15.985647	-89.063129	14.0
ODO000078	Bellinger R., N.S.W.	Australia	-30.433066	152.729765	32.0
ODO000079	Bengal, Duars, Hasimara T.E.	India	26.715046	89.364027	15.0
ODO000080	Bengal, Hasimara, Duars	India	26.715741	89.360863	5.0
ODO000081	Betsileo, Madag.	Madagascar	-21.164562	46.325348	150.0
ODO000082	Bhagmandala, Coorg	India	12.386592	75.528698	1.0
ODO000083	Bida, N. Nigeria	Nigeria	9.085249	6.005519	3.5
ODO000084	Billabong near Annan R., Cooktown, N.Q.	Australia	-15.517776	145.236854	5.0
ODO000085	Blue Mts., N.S.W.	Australia	-33.706923	150.33871	3.5
ODO000086	Bogota	Colombia	4.643484	-74.092023	22.0
ODO000087	Bolihuloya	Sri Lanka	6.718909	80.771323	1.0
ODO000088	Bolivia: Buenavista, Santa Cruz	Bolivia	-17.45981	-63.664613	2.0
ODO000089	Borikhane, Laos, Siam	Laos	18.561296	103.721476	1.0
ODO000090	Borneo	Borneo	4.266909	115.063124	70.0
ODO000091	Borneo, Baram	Borneo	3.76248	114.416076	104.0
ODO000092	Borneo, Bettotan	Borneo	5.784241	117.849936	4.7
ODO000093	Borneo, Kina Balu	Borneo	6.083333	116.55	10.0
ODO000094	Borneo, Lio Matu	Borneo	3.170104	115.22006	1.5
ODO000095	Borneo, Mt. Kina Balu	Borneo	6.083333	116.55	10.0
ODO000096	Borneo, Mt. Merinjak	Malaysia	0.883273	110.516744	10.0
ODO000097	Borneo, Sarawak, Baram	Borneo	3.76248	114.416076	104.0
ODO000098	Borneo, Sarawak, Limbang	Borneo	4.266909	115.063124	70.0
ODO000099	Borneo, Sarawak, Madihit, 2000ft.	Borneo	4.047672	115.176083	16.0
ODO000100	Borongan, Samat, Philippine Is.	Philippines	11.591572	125.346273	21.0
ODO000101	Brazil: Matto Grosso, N.E. of Cuyaba, Chapada, Burity. 2250ft.	Brazil	-15.383291	-55.833333	5.0
ODO000102	Brazil: Matto Grosso, R. Paraguay, Rio Cuyaba	Brazil	-15.68775	-56.103083	150.0
ODO000103	Breves, Lower Amazon	Brazil	-2.636515	-66.017197	8.0
ODO000104	Bridgetown, W.A.	Australia	-33.958043	116.136732	5.0
ODO000105	Brisbane	Australia	-27.469393	153.025128	30.0
ODO000106	Brisbane, Q.	Australia	-27.412539	153.009512	12.0
ODO000107	Brit E. Africa, Nandi Plateau. 5700-6200ft.	Kenya	0.227001	35.129483	50.0
ODO000108	Brit. Caffraria	South Africa	-32.526843	27.237832	75.0
ODO000109	Brit. E. Afr. Nairobi to Ft. Hall Rd., 4,500-5,000 ft.	Kenya	-1.077629	37.044997	38.0
ODO000110	Brit. Guiana, Tumatumari., R. Potaro	Guyana	5.261505	-59.148411	12.0
ODO000111	Brit. N. Borneo, Bettotan	Borneo	5.784241	117.849936	4.7
ODO000112	Brit. N. Borneo, Mt. Kinabalu, Kabayau, 600'	Borneo	6.157728	116.460976	2.0
ODO000113	British Cameroons, Kumba, W.A., Police Stn. stream	Cameroon	4.63205	9.442468	1.0
ODO000114	British Guiana, Kaieteur, Savannah & environs	Guyana	5.273198	-59.391549	14.0
ODO000115	British Guiana, Potaro Gorge, Tukeit	Guyana	5.2001	-59.449213	4.5
ODO000116	British Guiana: Essequibo R., Moraballi Creek	Guyana	6.183387	-58.833336	17.0
ODO000117	British Guiana: New River, 750ft.	Guyana	3.250561	-57.617148	15.0
ODO000118	Broderick Falls, Scarp: Kenya	Kenya	0.605319	34.762089	1.0
ODO000119	Bugaba, 800-1,500 ft.	Panama	8.681819	-82.661357	26.0
ODO000120	Bugalla Is., L. Victoria, Uganda	Uganda	-0.380986	32.257965	30.0
ODO000121	Bukit Besar, Jalor N.A	Malaysia	5.294095	103.141425	2.0
ODO000122	Burliya, Nilgiris, 3000'	India	11.341488	76.840858	4.5
ODO000123	Burliyar R., Nilgiris, 2500 ft, S. India	India	11.341488	76.840858	4.5
ODO000124	Burma, Maymyo	Myanmar	22.03614	96.469548	8.0
ODO000125	Burma, Mergui	Myanmar	12.456496	98.625963	6.0
ODO000126	Burma, Thaton distr., Mokpalin	Myanmar	17.435574	96.888044	1.5
ODO000127	Buru	Indonesia	-3.442238	126.623772	75.0
ODO000128	Bwake, French Ivory Ct.	Cote d'Ivoire	7.704104	-5.031117	8.0
ODO000129	Bwamba Forest 2400ft, Fort Portal, Uganda	Uganda	0.650976	30.275829	3.5
ODO000130	Bwamba Forest, 2400ft, Fort Portal, Uganda	Uganda	0.650976	30.275829	3.5
ODO000131	Bwamba Valley, Uganda, 2500'		0.734475	30.017828	15.0
ODO000132	C. AFR. REP: Bouar, Centre d'Elerage	Central African Republic	5.939822	15.596981	2.5
ODO000133	C.G.H.	South Africa	-34.358369	18.471848	0.4
ODO000134	C.P., French Hoek	South Africa	-33.899376	19.145581	6.0
ODO000135	Cache, Costa Rica	Costa Rica	9.825363	-83.803754	1.0
ODO000136	Cache. Costa Rica	Costa Rica	9.825363	-83.803754	1.0
ODO000137	Cairns, N.Q.	Australia	-16.930278	145.770278	24.0
ODO000138	Calafquen, Temuco	Chile	-39.572378	-72.250313	5.0
ODO000139	Cam Highland, 4000-4500	Malaysia	4.487481	101.470334	17.5
ODO000140	Cam Highlands, 4000-4500	Malaysia	4.487481	101.470334	17.5
ODO000141	Cameroon, Dehane	Cameroon	3.489623	10.072707	4.0
ODO000142	Cameroons, Bambui	Cameroon	6.050085	10.233333	3.0
ODO000143	Cameroons, Bamenda	Cameroon	5.969359	10.166275	5.5
ODO000144	Campbellpore	Pakistan	33.771522	72.373134	6.5
ODO000145	Cape Coast Castle	Ghana	5.103677	-1.240975	0.1
ODO000146	Cape Good Hope	South Africa	-34.358369	18.471848	0.4
ODO000147	Cape York, N. Queensland	Australia	-10.784123	142.481049	30.0
ODO000148	Cape York, N.Q.	Australia	-10.784123	142.481049	30.0
ODO000149	Cape, Worcester	South Africa	-33.645759	19.449508	7.0
ODO000150	Caroda, N.S.W.	Australia	-30.018151	150.365902	2.0
ODO000151	Ceara	Brazil	-5.260627	-39.659875	320.0
ODO000152	Celebes	Indonesia	-2.0	121.0	600.0
ODO000153	Central Africa Republic, Near Centre d'Elevage Bouar	Central African Republic	5.939822	15.596981	2.5
ODO000154	Central Africa, Uganda, Kigezi Dist., Birunga Mts., 7,500ft. swamp in bamboo forest		-1.383397	29.633209	5.0
ODO000155	Central Africa, Uganda, Toro Dist., Kibale Forest	Uganda	0.518464	30.414105	20.0
ODO000156	Central Africa, Uganda, Toro Dist., Kibale Forest, Buzira Sagama	Uganda	0.518464	30.414105	20.0
ODO000157	Central Africa, Uganda, Toro Dist., Kibale Forest, Buzirasagama	Uganda	0.518464	30.414105	20.0
ODO000158	Central Africa, Uganda, Toro Dist., Kibale Forest, deep forest	Uganda	0.518464	30.414105	20.0
ODO000159	Central African Republic, near-centre d'Elevage Bouar	Central African Republic	5.939822	15.596981	2.5
ODO000160	Centrl Africa, Uganda, Bunyoro Dist., Budongo Forest, Nyamagita Dam	Uganda	1.656628	31.527895	5.0
ODO000161	Ceylon, 4. miles above Belihul Oya	Sri Lanka	6.776737	80.769039	3.0
ODO000162	Ceylon, Cent. Province, Peradeniya	Sri Lanka	7.265074	80.598922	2.0
ODO000163	Ceylon, Djatalawa, 5000 ft.	Sri Lanka	6.806952	80.958178	2.5
ODO000164	Ceylon, Haragama	Sri Lanka	7.249297	80.722625	2.0
ODO000165	Ceylon, Haycock Hill	Sri Lanka	6.333141	80.300043	1.0
ODO000166	Ceylon, Kandy	Sri Lanka	7.290628	80.633849	6.0
ODO000167	Ceylon, Kandy Lake	Sri Lanka	7.290994	80.641959	1.0
ODO000168	Ceylon, Kandy, 2000'	Sri Lanka	7.290628	80.633849	6.0
ODO000169	Ceylon, Kottawa	Sri Lanka	6.102626	80.317483	2.0
ODO000170	Ceylon, Pettiagalla	Sri Lanka	6.651557	80.645713	5.0
ODO000171	Ceylon, Pundaloya	Sri Lanka	7.009966	80.661708	2.0
ODO000172	Ceylon, Trincomalee	Sri Lanka	8.590676	81.214246	6.0
ODO000173	Ceylon, Urugalla, 3000'	Sri Lanka	7.316742	80.865685	12.0
ODO000174	Ceylon: Nawala-pitiya	Sri Lanka	7.033982	80.521931	5.0
ODO000175	Ceylon; Hot Wells, Trincomali	Sri Lanka	8.604706	81.171297	0.5
ODO000176	Ceylon; Trincomali	Sri Lanka	8.590676	81.214246	6.0
ODO000177	Chairo, Bolivia	Bolivia	-16.203429	-67.836749	2.0
ODO000178	Cherrapunji, Khasia Hills, Assam, 6000'	India	25.270286	91.732245	5.0
ODO000179	Chevayur, Malabar	India	11.272165	75.824801	1.2
ODO000180	Chibudzana R., Meisetter Dist. Dept. Agric., S. Rhodesia	Zimbabwe	-20.257444	32.832799	5.0
ODO000181	Chibudzana R., Meisetter Dist., Dept Agric. S. Rhodeisa	Zimbabwe	-20.257444	32.832799	5.0
ODO000182	Chibudzana R., Melsetter Dist. Dept. Agric., S. Rhodesia	Zimbabwe	-20.257444	32.832799	5.0
ODO000183	CHILE, Villa Alemana	Chile	-33.050694	-71.364904	4.0
ODO000184	China: Guangdong, Guangzhou: Zhong Shan University	China	23.097938	113.294758	1.0
ODO000185	Chirgui	Panama	8.376878	-82.29492	12.0
ODO000186	Chirinda For., Gazall, 3600ft.	Zimbabwe	-20.40989	32.699706	5.0
ODO000187	Chirinda For., Meisetter Dist. Dept. Agric., S. Rhodesia	Zimbabwe	-20.40989	32.699706	5.0
ODO000188	Chirinda Forest, Garald 4000ft.	Zimbabwe	-20.40989	32.699706	5.0
ODO000189	Concordia, R.A.	Argentina	-31.380338	-58.040744	6.0
ODO000190	Concordia. Argentine	Argentina	-31.380338	-58.040744	6.0
ODO000191	Cooktown, N.Q.	Australia	-15.476068	145.247128	75.0
ODO000192	Coonoor, Nilgiris, 6000 ft.	India	11.35	76.795417	3.2
ODO000193	Coorg, Fraserpet Cauvery	India	12.308532	75.843039	35.0
ODO000194	Corrientes	Argentina	-27.483785	-58.804405	8.0
ODO000195	Costa Rica, Guanacaste Prov., SW side of Volcan Cacao Est. Mengo, 1100m.	Costa Rica	10.933758	-85.448246	4.0
ODO000196	Costa Rica, Sequirres, Limon	Costa Rica	10.099571	-83.50755	2.0
ODO000197	Costa Rica: Alajuela Prov., 8km S. St. Cecilia, Est. Pitilla, 680m	Costa Rica	10.880711	-85.056018	1.0
ODO000198	Costa Rica: Guanacaste Prov., SW side Volcan Cacao, Est. Mengo, 1100m	Costa Rica	10.933758	-85.448246	4.0
ODO000199	Cradle Mt., Tas.	Australia	-41.744866	145.983643	28.0
ODO000200	Cressy, Tas.	Australia	-41.780976	147.096027	18.0
ODO000201	Cubilguitz, Vera Paz	Guatemala	15.667349	-90.429397	0.2
ODO000202	Cuenca	Equador	-2.889867	-78.987151	8.0
ODO000203	Cumbum, Madura Dist.	India	9.736169	77.283267	2.5
ODO000204	Dahamis, Sokotra		12.625371	54.121863	0.4
ODO000205	Damas	Syria	33.510029	36.293258	9.0
ODO000206	Darjeeling	India	27.033343	88.261928	5.0
ODO000207	David, Panama	Panama	8.410773	-82.427834	10.0
ODO000208	Dawn Ton, N.E. Siam	Thailand	16.251554	104.723965	50.0
ODO000209	Delagoa Bay	Mozambique	-25.969544	32.575569	50.0
ODO000210	Demerara	Guyana	5.796098	-58.387805	120.0
ODO000211	Devalashola, Nilgiri Wynaad, S. India	India	11.542639	76.440983	2.5
ODO000212	Dilkhoosh, Cachar	India	24.77785	93.020676	1.5
ODO000213	Dobar, Goolis Mts.	Somalia	9.867842	44.916558	45.0
ODO000214	Dorrigo, N.S.W.	Australia	-30.333456	152.713484	8.0
ODO000215	Dutch New Guinea.; Snow Mts., 4,000 to 6,000 ft.	Indonesia	-3.999871	137.999957	1.0
ODO000216	E. Africa, Uganda, W. shore of L. Victoria		-0.966331	31.787475	170.0
ODO000217	E. Africa, Uganda, W. shore of Lake Victoria		-0.966331	31.787475	170.0
ODO000218	E. Nigeria, Obudu	Nigeria	6.662543	9.175667	3.0
ODO000219	E. Peru ?, Rio Napo	Peru	-2.254021	-74.07099	195.0
ODO000220	E. Ruwenzori, 5-7,000 ft.	Uganda	0.455795	29.997864	55.0
ODO000221	East Africa, Buganda	Burundi	-2.965504	29.192574	4.5
ODO000222	Eastern Mergui, Lower Burma	Myanmar	12.463363	98.646569	3.0
ODO000223	Ebor, N.S.W.	Australia	-30.412978	152.316432	15.0
ODO000224	Ecuador	Ecuador	-0.182801	-78.448442	26.0
ODO000225	Ecuador, Intaj	Ecuador	0.133333	-78.833333	25.0
ODO000226	El Reposo, Guatemala	Guatemala	14.156926	-91.223363	
ODO000227	El Salto, Valparaiso	Chile	-33.039332	-71.521511	1.5
ODO000228	Entebbe, L. Victoria, Uganda	Uganda	0.051243	32.464207	5.0
ODO000229	Entebbe, Uganda	Uganda	0.051243	32.464207	5.0
ODO000230	Ethiopia, Nr. Cencia, 8000'	Ethiopia	6.241401	37.417291	18.0
ODO000231	Ethiopia: Segheria	Ethiopia	6.52274	38.883231	3.5
ODO000232	F.M.S., Kedah Catchment area, near Jitra	Malaysia	6.318665	100.438937	20.0
ODO000233	Fed. Malay States, Bettatan	Malaysia	5.784241	117.849936	4.7
ODO000234	Fernand Vaz.	Gabon	-1.592357	9.429057	6.0
ODO000235	Fernando Po: Moka	Equatorial Guinea	3.349804	8.666666	2.5
ODO000236	Fianarantsoa, Madagascar	Madagascar	-21.450235	47.088004	6.0
ODO000237	Florida, S.E. Colombia	Colombia	3.321763	-76.23682	1.5
ODO000238	Foo Chow	China	26.054423	119.223295	100.0
ODO000239	Fort Johnson, Nyasaland	Malawi	-14.48359	35.252294	2.5
ODO000240	Fort Johnston, Nyassaland	Malawi	-14.48359	35.252294	2.5
ODO000241	Free Town, Sierra Leone	Sierra Leone	8.469214	-13.22374	10.0
ODO000242	French Guiana: St. Laurent.	French Guiana	5.484167	-54.022307	4.0
ODO000243	Fronterita Tuc, Deo. Famailla	Argentina	-27.030934	-65.460375	1.5
ODO000244	Fuluason R. above Mooris Dam	Samoa	-13.849664	-171.797565	3.0
ODO000245	Gabmetzung, 20 miles up Markham River,; Germ. New Guinea: Huon Gulf	Papua New Guinea	-6.577737	146.758741	3.0
ODO000246	Gabon: L.Asebbe, Fernan-Vaz	Gabon	-1.592357	9.429057	6.0
ODO000247	Galapagos	Ecuador	-0.525707	-90.363294	150.0
ODO000248	Gangtok, Sikkim	India	27.340434	88.612235	5.5
ODO000249	Garo Hills, Assam, 1400ft	India	25.500038	90.333333	2.0
ODO000250	Gauhati	India	26.139214	91.703564	19.0
ODO000251	Gigbema, Sierra Leone	Sierra Leone	8.10622	-10.64218	1.0
ODO000252	Gil.	Indonesia	0.633196	127.879758	180.0
ODO000253	Gilolo	Indonesia	0.633196	127.879758	180.0
ODO000254	Gisborne, Vic.	Australia	-37.490021	144.59058	3.0
ODO000255	Gok Teik, Burma	Myanmar	22.346581	96.918082	1.5
ODO000256	Gokteik, 1,500 ft.	Myanmar	22.346581	96.918082	1.5
ODO000257	Gold Coast, Aburi	Ghana	5.849065	-0.173207	2.5
ODO000258	Gold Coast, N. Territories, Yapi	Ghana	9.162292	-1.167358	0.5
ODO000259	Gopaldhara		26.927643	88.152282	2.5
ODO000260	Gopaldhara, Assam		26.927643	88.152282	2.5
ODO000261	Gopaldhara, Bengal		26.927643	88.152282	2.5
ODO000262	Grand Sable (Windward)	St. Vincent and The Grenadines	13.265707	-61.118309	1.0
ODO000263	Groot Drakenstein, Cape Province	South Africa	-26.04996	29.68329	5.0
ODO000264	Guadalajara, Jalisco	Mexico	20.674734	-103.337811	10.0
ODO000265	Gudalur, 4500 ft.	India	11.505114	76.488661	2.5
ODO000266	"Gudalur, Nilgiris, 3500"", S. India"	India	11.505114	76.488661	2.5
ODO000267	Gudalur, Nilgiris, Pandy R.	India	11.505114	76.488661	2.5
ODO000268	Gunong Kledang, Perak, 2646'	Malaysia	4.593932	101.014957	2.0
ODO000269	Gurupa, Lower Amazon	Brazil	-1.409535	-51.643172	1.0
ODO000270	Hainan, 5-fingered Mt.	China	18.898373	109.704167	5.0
ODO000271	Hainan, Mt. Wuchi	China	18.898373	109.704167	5.0
ODO000272	Haldibari, T.E., Duars, Brufal	India	26.744463	89.021823	3.0
ODO000273	Hallery, Coorg	India	12.444699	75.786443	1.0
ODO000274	Hasimara T.E., Duars, Bengal	India	26.715046	89.364027	15.0
ODO000275	Hasimara, Duars	India	26.715741	89.360863	5.0
ODO000276	Hasimara, Duars, Bengal	India	26.715046	89.364027	15.0
ODO000277	Hasimara, T.E., Duars, Bengal	India	26.715046	89.364027	15.0
ODO000278	Hassan Abdal; N W Ind	Pakistan	33.822723	72.678596	3.0
ODO000279	Hat Kam, Laos, Wiangchan	Laos	18.6554	103.5891	0.3
ODO000280	Hawaiian Island, Lihue, Kauai	United States of America	21.975111	-159.355497	3.5
ODO000281	Hawaiian Islands	United States of America	21.158101	-157.105501	340.0
ODO000282	Hawaiian Islands, Halemano, Oahu, 2000 ft	United States of America	21.524127	-158.018836	2.5
ODO000283	Hawaiian Islands, Halemanu, Kauai, 4000 ft	United States of America	22.115832	-159.673056	2.0
ODO000284	Hawaiian Islands, Honolulu, Oahu, 3000 ft.	United States of America	21.317686	-157.803205	16.0
ODO000285	Hawaiian Islands, Kau, 4000 ft.	United States of America	19.216896	-155.523022	25.0
ODO000286	Hawaiian Islands, Kona, 3000 ft	United States	19.548652	-155.849999	40.0
ODO000287	Hawaiian Islands, Lihue, Kauai	United States of America	21.975111	-159.355497	3.5
ODO000288	Hawaiian Islands, Molokai Mts., 4000 ft	United States of America	21.13634	-157.004724	32.0
ODO000289	Hawaiian Islands, Puna	United States of America	19.493781	-155.009689	21.0
ODO000290	Hawaiian Islands, Waianae Mts., Oahu, 2000 ft	United States of America	21.51	-158.15	4.0
ODO000291	Hawaiian Islands, Waianae Mts., Oahu,2000 ft	United States of America	21.51	-158.15	4.0
ODO000292	Hawaiian Islands, Waimea, Kauai, 4000	United States of America	21.961506	-159.672465	2.2
ODO000293	Hawaiian Islands, Waimea, Kauai, 4000 ft	United States of America	21.961506	-159.672465	2.2
ODO000294	Hawaiian Islands, West Maui Mts., 4000 ft	United States	20.880374	-156.55458	3.0
ODO000295	Hellesoi's Paddock, Apia, W. Samoa, 1600'	Samoa	-13.850241	-171.752021	7.0
ODO000296	Herberton	Australia	-17.3813	145.3838	4.5
ODO000297	Hill stream near Kagoro, Nigeria	Nigeria	9.618868	8.405105	6.0
ODO000298	Himalaya		29.450144	84.243744	1300.0
ODO000299	HONGKONG Mt. Butler	Hong Kong	22.267898	114.211185	0.3
ODO000300	HONGKONG Yuen Tun Ha	Hong Kong	22.427097	114.159474	1.0
ODO000301	HongKong, Tai Tong	Hong Kong	22.418088	114.035321	2.5
ODO000302	Hori, Formosa	Taiwan	23.979625	120.963301	11.0
ODO000303	Hornsby, N.S.W.	Australia	-33.698067	151.097519	2.5
ODO000304	Huddamulla; Ceylon	Sri Lanka	6.868005	79.913218	2.0
ODO000305	Huntse R., Coorg, Mysore	India	12.308805	76.28779	3.0
ODO000306	Ibadan, Nigeria	Nigeria	7.396389	3.916667	18.0
ODO000307	Ibadan, SO Nigeria	Nigeria	7.396389	3.916667	18.0
ODO000308	Illawarra, N.S.W.	Australia	-34.523747	150.839158	6.0
ODO000309	India, Assam, Shillong, 5000 ft.	India	25.58547	91.890374	9.0
ODO000310	India, Bengal, Darjeeling Dist.	India	27.033343	88.261928	5.0
ODO000311	India, Bengal, Duars, Hasimara	India	26.715741	89.360863	5.0
ODO000312	India, Bengal, Hasimara, Duars	India	26.715741	89.360863	5.0
ODO000313	India, Bombay, Vihar Lake	India	19.152953	72.910735	2.0
ODO000314	India, Coorg, Makut	India	12.080083	75.729818	0.6
ODO000315	India, Coorg, Sampaji	India	12.493402	75.566337	2.0
ODO000316	India, Coorg, Sampaji Ghat	India	12.493402	75.566337	2.0
ODO000317	India, Darjeeling Distr., Near Mangpu, 3400'	India	26.974288	88.357973	1.0
ODO000318	India, Darjeeling, Tarzum Tea Estate	India	26.942117	88.17204	1.5
ODO000319	India, Hasimara, Duars	India	26.715741	89.360863	5.0
ODO000320	India, Mahableshwar, 4500 ft.	India	17.926229	73.648524	3.0
ODO000321	India, Mahableshwar, 4500.	India	17.926229	73.648524	3.0
ODO000322	India, Mahableshwar.	India	17.926229	73.648524	3.0
ODO000323	India, Nilgiri, Wynaad Nadgani, 3000 ft	India	11.472526	76.409641	1.5
ODO000324	India, Nilgiris, Gudalur	India	11.505114	76.488661	2.5
ODO000325	India, Nilgiris, Gudalur, 3000'.	India	11.505114	76.488661	2.5
ODO000326	India, Nilgiris, Nadgani	India	11.472526	76.409641	1.5
ODO000327	India, Nilgris, Masnagudi	India	11.570722	76.642095	1.0
ODO000328	India, Poona	India	18.5223	73.860268	13.0
ODO000329	India, Pusa	India	25.978046	85.648725	0.5
ODO000330	India, Sonder Bhandara, Cent. Prov.	India	21.172036	79.653179	4.0
ODO000331	India, Turzum, Darjeeling Dt.	India	26.94703	88.175446	0.5
ODO000332	India: Coorg, Cannamore Ghat	India	11.867399	75.370464	2.0
ODO000333	India: Darjeeling distr., Gangtok	India	27.340434	88.612235	5.5
ODO000334	India: Gudalur, Nilgiris	India	11.505114	76.488661	2.5
ODO000335	India: Gudalur, Nilgiris 3500'	India	11.505114	76.488661	2.5
ODO000336	India: Hunso R., Mysore	India	12.308805	76.28779	3.0
ODO000337	India: Nilgiris 3-4500ft	India	11.4	76.7	60.0
