Barcode,Confidence,Coordinate_Radius_Meters,Coordinate_Source,Country,Country_Processed,Elevation,Elevation_Original,Exact_Site,Latitude,Longitude,Processing_Notes,Region,Sector,State,label_verbatim,lat_manual,long_manual,radius_km_manual,distance_meters,within radius
10806569,medium,3000,estimated,United Kingdom,United Kingdom,,,Ryde,50.733,-1.1637,"Coordinates estimated for Ryde, Isle of Wight",Isle of Wight,,England,UK. IoW. Ryde,50.72995,-1.16328,2,340.4303393,-3659.569661
10809385,medium,5000,estimated,United Kingdom,United Kingdom,,,Clacton,51.78855,1.15775,Coordinates estimated for town center,Essex,,England,Clacton,51.7895,1.153,4.6,343.3611093,-8856.638891
10265735,medium,2000,estimated,United Kingdom,United Kingdom,,,,52.3228,0.3486,Coordinates estimated for Devil's Ditch in Cambridgeshire,Cambridgeshire,Devil's Ditch,England,"Devil's Ditch, Cambs",52.2329838,0.3564006,,10001.19588,10001.19588
10808263,medium,3000,estimated,United Kingdom,United Kingdom,,,Harleston,52.4625,1.1875,Coordinates estimated for town center,Norfolk,,England,Harleston Norfolk,52.403241,1.300585,1.5,10109.13809,7109.138094
10808370,medium,3000,estimated,United Kingdom,United Kingdom,,,Collingford,50.5166,-4.7166,Coordinates estimated for Bodmin Moor region,Cornwall,Bodmin Moor,England,"England, Bodmin Moor, Collingford",50.52619,-4.57383,,10149.52974,10149.52974
10807607,medium,3000,estimated,United Kingdom,United Kingdom,,,Sliddery,55.5473,-5.2685,"Coordinates estimated for Sliddery, Isle of Arran",North Ayrshire,Isle of Arran,Scotland,"Scotland, Arran, Sliddery",55.45566,-5.27409,0.7,10195.98284,8795.982841
10811410,medium,5000,estimated,United Kingdom,United Kingdom,,,,56.7852,-5.3719,"Coordinates estimated for Ardgour, a region in the Highlands of Scotland",,Ardgour,Scotland,Ardgour,56.72349,-5.24691,0.6,10253.80874,9053.808741
10811188,medium,2000,estimated,United Kingdom,United Kingdom,,,,51.2069,-2.7412,Coordinates estimated for Edington Moor in Somerset,Somerset,Edington Moor,England,"Edington Moor, Somerset N.",51.1659,-2.87398,,10316.22848,10316.22848
10811503,medium,2000,estimated,United Kingdom,United Kingdom,,,,58.5461,-4.9732,"Coordinates estimated for Polin Bay, Sutherland",Sutherland,Polin Bay,Scotland,"Polin Bay, Sutherlandshire",58.48266,-5.10424,,10376.74749,10376.74749
10807835,medium,2000,estimated,United Kingdom,United Kingdom,,,Walkerburn,55.6529,-3.1748,"Coordinates estimated for Walkerburn, Peebles area",Scottish Borders,,Scotland,"Scotland, Peebles, Walkerburn",55.62547,-3.01589,,10428.96682,10428.96682
10265599,medium,2000,estimated,United Kingdom,United Kingdom,,,Exebridge,51.0915,-3.4521,"Locality coordinates estimated for Exebridge, Somerset",Somerset,,England,ENGLAND. NS. Exebridge.,51.01039,-3.53147,1,10588.81103,8588.81103
10807769,medium,3000,estimated,United Kingdom,United Kingdom,,,Pitmedden,57.4167,-2.2833,"Coordinates estimated for Pitmedden, Aberdeenshire",Aberdeenshire,,Scotland,"Scotland, Aberdeenshire, Pitmedden",57.33734,-2.18141,,10732.05919,10732.05919
10809006,medium,2000,estimated,United Kingdom,United Kingdom,,,"Linna Dale, Orphir",58.8786,-3.2288,"Coordinates estimated for Orphir, Orkney",Orkney,,Scotland,"Linna Dale, Orkney, Orphir",58.963861,-3.138466,5,10805.92971,805.9297054
10809133,medium,2000,estimated,United Kingdom,United Kingdom,,,Llangian,52.8667,-4.6833,"Coordinates estimated for Llangian, North Wales",Gwynedd,,Wales,"N. Wales, Llangian",52.83103,-4.53343,,10817.55801,10817.55801
10806311,medium,5000,estimated,United Kingdom,United Kingdom,,,"Wensley Dale, Aysgarth Dale",54.292,-1.825,Coordinates estimated for central Wensleydale area,North Yorkshire,Yorkshire Dales National Park,England,"Wensley Dale, Aysgarth Dale",54.291606,-1.996745,0.15,11146.28923,10846.28923
10806448,medium,5000,estimated,United Kingdom,United Kingdom,,,,54.5392,-2.7125,"Historical county of Westmorland, now part of Cumbria. Martindale is a valley in the Lake District.",Westmorland,Martindale,England,"Westmoorland, Martindale",54.563003,-2.8830075,,11310.15914,11310.15914
10265998,medium,2000,estimated,United Kingdom,United Kingdom,,,Whitchurch,51.5839,-1.166,"Abbreviation 'Eng. Oxon' expanded to 'England, Oxfordshire'",Oxfordshire,,England,"Eng. Oxon, Whitchurch",51.4917515,-1.0960348,,11331.61826,11331.61826
10811486,medium,2000,estimated,United Kingdom,United Kingdom,,,Boher-na-breena,53.3498,-6.2603,Abbreviation 'DU' interpreted as Dublin; coordinates estimated for general Dublin area,Dublin,,Ireland,"Boher-na-breena, DU",53.26597,-6.358,,11358.96397,11358.96397
10806421,medium,2000,estimated,United Kingdom,United Kingdom,,,Beacon Tarn,54.2167,-3.2167,"Coordinates estimated for Beacon Tarn in Furness, Cumbria",Cumbria,Furness,England,"Furness, Beacon Tarn",54.30071,-3.11702,,11365.79111,11365.79111
10811283,medium,5000,estimated,United Kingdom,United Kingdom,,,River Chet,52.6167,1.5833,"Abbreviated locality, coordinates estimated for River Chet region",Norfolk,Norfolk Broads,England,Riv. Chet.,52.53854,1.47437,,11389.09185,11389.09185
10808513,medium,2000,estimated,United Kingdom,United Kingdom,,,,54.3804,-3.2276,Coordinates estimated for Beacon Tarn in historic Cumberland (now part of Cumbria),Cumberland,Beacon Tarn,England,"England, Cumberland, Beacon Tarn",54.30071,-3.11702,,11397.4261,11397.4261
10806894,medium,2000,estimated,United Kingdom,United Kingdom,,,,51.6528,-1.2577,Estimated coordinates for Oxfordshire region,Oxfordshire,Lollington Down,England,"England: Oxon, Lollington Down",51.562041,-1.180765,1.5,11405.01172,8405.011724
10811806,medium,5000,estimated,United Kingdom,United Kingdom,,,Nr. Bayhead,57.5833,-7.25,"Coordinates estimated for Bayhead, North Uist, Outer Hebrides",Outer Hebrides,North Uist,Scotland,"Nr. Bayhead, North Uist",57.58786,-7.44294,,11511.32808,11511.32808
10807331,medium,2000,estimated,United Kingdom,United Kingdom,,,Hickling Stub Mill,52.6941,1.4549,"Coordinates estimated for Hickling, Norfolk",Norfolk,,England,"Norfolk, Hickling Stub Mill",52.740651,1.6088291,,11588.34706,11588.34706
10807837,medium,2000,estimated,United Kingdom,United Kingdom,,,Kincraig,57.0875,-4.1097,Coordinates estimated for Kincraig village in Highland region,Highland,,Scotland,Kincraig,57.12666,-3.93098,,11637.63886,11637.63886
10266414,medium,2000,estimated,United Kingdom,United Kingdom,,,Alum Bay,50.6675,-1.7342,Abbreviation I.O.W. expanded to Isle of Wight,Isle of Wight,,England,England I.O.W. Alum Bay,50.6654,-1.56889,,11653.23956,11653.23956
10807985,medium,2000,estimated,United Kingdom,United Kingdom,,,Crasswell,52.0876,-2.9214,"Coordinates estimated for Crasswell, located in border region of Wales/Herefordshire",Herefordshire,,Wales,"Wales, Herefordshire, Crasswell",52.01327,-3.04178,,11665.06014,11665.06014
10807803,medium,2000,estimated,United Kingdom,United Kingdom,,,Millport,55.7592,-5.1149,"Coordinates estimated for Millport, Isle of Cumbrae",Bute,,Scotland,"Millport, Bute, Scotland",55.75358,-4.92861,,11673.05047,11673.05047
10807506,medium,2000,estimated,United Kingdom,United Kingdom,,,Greenhill,50.7272,-2.4373,"Coordinates estimated for Greenhill, Dorset",Dorset,,England,"Dorset, Greenhill",50.6218,-2.44767,,11742.70419,11742.70419
10266494,medium,2000,estimated,United Kingdom,United Kingdom,,,Castor,52.6746,-0.3821,Coordinates estimated for village of Castor,Cambridgeshire,,England,Castor,52.57084,-0.34714,,11776.45408,11776.45408
10808439,medium,2000,estimated,United Kingdom,United Kingdom,,,Field Head,54.3877,-3.4878,Coordinates estimated for Eskdale region in Cumbria,Cumbria,Eskdale,England,"England, Cumbria, Eskdale, Field Head",54.379158,-3.3062427,,11795.09387,11795.09387
10807792,medium,3000,estimated,United Kingdom,United Kingdom,,,PM: Rannoch,56.6722,-4.5231,"PM likely means 'Precise Measurement' or 'Primary Marker', coordinates estimated for Black Wood of Rannoch area",Perth and Kinross,Black Wood of Rannoch,Scotland,"Scotland, PM: Rannoch, Black Wood",56.67181,-4.3282,,11907.28668,11907.28668
10810241,medium,2000,estimated,United Kingdom,United Kingdom,,,Cowley Manor,51.7236,-2.0623,Abbreviation 'GE' expanded to Gloucestershire,Gloucestershire,,England,"Cowley Manor, GE",51.83054,-2.05273,,11909.39914,11909.39914
10811974,medium,5000,estimated,United Kingdom,United Kingdom,,,Walls District,60.1879,-1.7624,"Coordinates estimated for West Mainland, Shetland",Shetland,West Mainland,Scotland,"Shetland, Walls District, W Mainland",60.22949,-1.5632,,11937.26664,11937.26664
10809452,medium,2000,estimated,United Kingdom,United Kingdom,,,"Bramton Burrows, dunes",51.1854,-4.2265,Coordinates estimated for North Devon coastal dune area,Devon,,England,"N. Devon, Bramton Burrows, dunes",51.07804,-4.19949,,12085.74762,12085.74762
10811532,medium,2000,estimated,United Kingdom,United Kingdom,,,"Kilmelfort, Armaddy Bay",56.3589,-5.5647,Coordinates estimated for Kilmelfort area in Argyll,Argyll and Bute,,Scotland,"Argyll: Kilmelfort, Armaddy Bay",56.26113,-5.47511,,12195.30527,12195.30527
10807578,medium,2000,estimated,United Kingdom,United Kingdom,,,Fairmile & Lowbury Hill,51.6228,-1.1908,Coordinates estimated for general Fairmile/Lowbury Hill area in Oxfordshire,Oxfordshire,,England,"England, Oxon, Fairmile & Lowbury Hill",51.541737,-1.071781,10,12201.52339,-7798.476613
10265639,low,5000,estimated,United Kingdom,United Kingdom,,,Lyehillq,51.7,-1.3,"Partial locality name, uncertain spelling/location. Estimated regional coordinates for Oxfordshire.",Oxfordshire,,England,LYEHILLQ OXON,51.756769,-1.1437215,,12477.85535,12477.85535
10811501,medium,2000,estimated,United Kingdom,United Kingdom,,,,52.5797,-6.3856,Coordinates estimated for Cahore Point coastal landmark,County Wexford,Cahore Point,Ireland,"Cahore Pt., Co. Wexford",52.56511,-6.20097,,12582.25566,12582.25566
10811206,medium,2000,estimated,United Kingdom,United Kingdom,,,Wittering,50.8661,-0.7784,"Coordinates estimated for Wittering, West Sussex",West Sussex,,England,"W. Sussex, Wittering",50.77511,-0.88491,,12583.61883,12583.61883
10811423,medium,2000,estimated,United Kingdom,Ireland,,,Waterville,51.7943,-10.3488,"Coordinates estimated for Waterville, County Kerry",,,,"Waterville, Ireland",51.82946,-10.17454,,12601.45428,12601.45428
10811864,medium,5000,estimated,United Kingdom,United Kingdom,,,Bressay Island,60.15,-1.3167,Coordinates estimated for Bressay Island,Shetland,Bressay,Scotland,"Bressay I., Shetland",60.15182,-1.08797,,12660.36081,12660.36081
10265688,low,2000,estimated,United Kingdom,United Kingdom,,,Monkwood,52.2561,-2.3189,Coordinates estimated for Monkwood locality,,,England,Monkwood,52.405,-0.2413,1,142139.1415,140139.1415
10810926,low,5000,estimated,United Kingdom,United Kingdom,,,Aultgrishin,57.0692,-3.7726,"Estimated coordinates for Aultgrishin, a place in Scotland",,,Scotland,Aultgrishin ,57.80388,-5.80244,,146387.0187,146387.0187
10265686,low,2000,estimated,United Kingdom,United Kingdom,,,G. Pits Ashton,53.4667,-2.2833,Approximate coordinates for 'Ashton' estimated,,,England,G. Pits Ashton,52.47389,-0.47451,,163876.1907,163876.1907
10811421,medium,2000,estimated,United Kingdom,United Kingdom,,,Coumeenoulle,53.4133,-9.2867,Coordinate estimated for West Galway locality,County Galway,,Ireland,"Coumeenoulle, W. Galway",52.1098147,-10.466623,,165255.9309,165255.9309
10807380,low,2000,estimated,United Kingdom,United Kingdom,,,"Gr. Pit, Ashton",53.484,-2.3472,"Abbreviated 'Gr. Pit' likely means 'Great Pit', coordinates estimated for Ashton",,,England,"Gr. Pit, Ashton",52.47389,-0.47451,,168321.3772,168321.3772
10811975,medium,5000,estimated,United Kingdom,United Kingdom,,,Roesand,60.3333,-1.65,"Coordinates estimated for Shetland region, Muckle Roe island",Shetland,Muckle Roe,Scotland,"Shetland, Roesand, Muckle Roe",60.36666,1.42499,,169175.0257,169175.0257
10806384,medium,2000,estimated,United Kingdom,United Kingdom,,,Beeston,52.92424,-1.17943,"Coordinates estimated for Beeston, Nottinghamshire area",,,England,"England, Beeston",52.6752451,1.3202872,,170309.1797,170309.1797
10809282,low,5000,estimated,United Kingdom,United Kingdom,,,Little hamp.,52.3755,0.1276,"Abbreviated locality 'hamp.' likely refers to Hampshire or Cambridgeshire, estimated coordinates based on regional center",Cambridgeshire,,England,Little hamp.,50.8111,-0.5387,3.5,179937.4524,172937.4524
10807158,medium,2000,estimated,United Kingdom,United Kingdom,,,Dilton,51.2139,-2.2576,"Coordinates estimated for Dilton, likely referring to Dilton Marsh in Wiltshire",,,England,Dilton,51.29462,0.45385,,188900.6813,188900.6813
10266031,low,100000,estimated,United Kingdom,United Kingdom,,,McLachlan,54.5,-4,"Minimal locality information, coordinates estimated to UK center",,,,McLachlan,56.11141,-5.19687,,194528.1395,194528.1395
10809955,medium,3000,estimated,United Kingdom,United Kingdom,,,"E. Shirley, Southampton area",50.9097,-1.4005,"Coordinates estimated for Southampton area, 'SH' interpreted as Hampshire",Hampshire,,England,"England, SH: Southampton area. E. Shirley",50.927484,1.409737,,196995.4816,196995.4816
10266149,low,10000,estimated,United Kingdom,United Kingdom,,,Woods W.S.M.,51.5074,-0.1278,"Incomplete locality, W.S.M. abbreviation unclear, default to UK center",,,England,Woods W.S.M.,51.3474,-2.9773,6,198344.4927,186344.4927
10809055,low,2000,estimated,United Kingdom,United Kingdom,,,Kealkyle Br,53.4129,-6.9406,"Estimated coordinates for Kealkyle Bridge, location ambiguous",,,Ireland,Kealkyle Br,53.538404,-9.942506,1.5,199138.5609,196138.5609
10806970,low,2000,estimated,United Kingdom,United Kingdom,,,Askintinny,54.5603,-6.7747,"Locality name suggests location in County Tyrone, Northern Ireland. Coordinates estimated based on general area.",County Tyrone,,Northern Ireland,Askintinny,52.76501,-6.15388,0.5,203772.5106,202772.5106
10808647,medium,2000,estimated,United Kingdom,United Kingdom,,,Bourn,52.2303,-0.1724,Coordinates estimated for village of Bourn,Cambridgeshire,,England,Bourn,50.7192,-1.8808,5.6,205493.8126,194293.8126
10808443,low,10000,estimated,United Kingdom,United Kingdom,,,Dev. Bp Cnr,51.5074,-0.1278,"Abbreviation 'Dev. Bp Cnr' unclear, using generic UK coordinates",,,England,Dev. Bp Cnr,50.77698,-2.94259,,212482.6458,212482.6458
10806733,medium,2000,estimated,United Kingdom,United Kingdom,,,Burley,52.6331,-2.7407,SH abbreviation interpreted as Shropshire,Shropshire,,England,"England, SH: Burley",50.82642,-1.70172,,213250.7864,213250.7864
10808187,low,5000,estimated,United Kingdom,United Kingdom,,,Devil's Glen,54.5,-4,Generic UK coordinate estimate due to limited location specificity,,,England,Devil's Glen,53.02472,-6.14722,,216383.7411,216383.7411
10807884,low,5000,estimated,United Kingdom,Ireland,,,Askintinny,54.5259,-7.7087,Coordinates estimated for Askintinny locality,,,,"Ireland, Askintinny",52.76501,-6.15388,0.5,220988.0385,219988.0385
10807702,medium,2000,estimated,United Kingdom,United Kingdom,,,Fladday,58.8522,-3.2033,"Fladday is a small island in Orkney, coordinates estimated to island center",Orkney Islands,,Scotland,Fladday,57.48607,-6.02458,,224579.4873,224579.4873
10806373,medium,2000,estimated,United Kingdom,United Kingdom,,,High Sharpley,54.7992,-1.5894,"Coordinates estimated for High Sharpley locality in Durham, England",Durham,,England,"England, High Sharpley",52.75591,-1.3573,,227714.3903,227714.3903
10807886,low,50000,estimated,United Kingdom,United Kingdom,,,Farrinseer,54.5,-4,"Locality name 'Farrinseer' has uncertain precise location, coordinates estimated in UK region",,,England,Farrinseer,53.95216,-7.47845,0.4,234145.0798,233345.0798
10810199,low,5000,estimated,United Kingdom,United Kingdom,,,Newton,52.346,-1.6409,"Generic 'Newton' locality, multiple possible locations in UK",,,England,Newton,50.5289,-3.6084,3.1,243750.048,237550.048
10811872,medium,2000,estimated,United Kingdom,United Kingdom,,,Boddam,59.8333,-1.3167,"Coordinates estimated for Boddam, Dunrossness, Shetland",Shetland,South Mainland,Scotland,"Boddam, Dunrossness, S. Mainland, Shetland",57.47037,-1.77952,0.5,264104.6055,263104.6055
10807880,low,5000,estimated,United Kingdom,United Kingdom,,,Kilcarry,53.2,-2.5,"Locality abbreviation expanded: 'Co. CW' interpreted as Cheshire, coordinate estimate is regional approximation",Cheshire,,England,"Kilcarry, Co. CW",52.699616,-6.669226,,284767.5233,284767.5233
10266191,low,2000,estimated,United Kingdom,United Kingdom,,,Croyd,51.1789,-4.262,"Very limited locality information, coordinates estimated for general area",,,England,Croyd,51.3762,-0.0982,4.8,290415.0361,280815.0361
10808088,low,100000,estimated,United Kingdom,United Kingdom,,,Wimb,54,-2,"Highly uncertain locality, partial name 'Wimb' could refer to multiple locations. Using regional UK centroid.",,,England,Wimb,51.4183,-0.2206,2.6,311070.3867,305870.3867
10811571,low,5000,estimated,United Kingdom,United Kingdom,,,Cork CV,50.3667,-4.7333,CV likely refers to a Cornish Vice County location; coordinate estimate is regional,Cornwall,,England,Cork CV,51.89689,-8.48631,,312239.3636,312239.3636
10811445,medium,2000,estimated,United Kingdom,United Kingdom,,,Geodha Chobhair,58.5306,-4.9078,Abbreviation 'w. Suth.' expanded to 'West Sutherland',West Sutherland,,Scotland,"Geodha Chobhair, w. Suth.",55.6748,-6.51405447,,332012.767,332012.767
10810924,medium,2000,estimated,United Kingdom,United Kingdom,,,Geodha Chobhair,58.5638,-5.0364,Coordinates estimated for Cape Wrath area in West Sutherland,West Sutherland,Cape Wrath,Scotland,"Geodha Chobhair, Cape Wrathm W. Sutherland",55.6748,-6.51405447,,333375.5807,333375.5807
10808465,medium,5000,estimated,United Kingdom,United Kingdom,,,Dev. Blackpool G,53.8175,-3.0525,"Estimated coordinates for Blackpool, Lancashire",Lancashire,,England,Dev. Blackpool G,50.77698,-2.94259,,338172.8881,338172.8881
10809932,medium,2000,estimated,United Kingdom,United Kingdom,,,Esh,54.7649,-1.6833,Locality is a small village in County Durham,Durham,,England,Esh,51.3690812,-0.3908914,,387327.8114,387327.8114
10811740,medium,2000,estimated,United Kingdom,United Kingdom,,,Inishmore,55.5833,-5.2833,Estimated coordinates for Inishmore on Arran Island,North Ayrshire,Arran Islands,Scotland,"Inishmore, Arran Is.",53.12887,-9.71966,,396245.1629,396245.1629
10810100,low,50000,estimated,United Kingdom,United Kingdom,,,Oxsh,54.5,-4,"Extremely limited locality information, coordinates are regional estimate",,,England,Oxsh,51.3345,-0.3584,1.7,428253.2994,424853.2994
10265782,low,50000,estimated,United Kingdom,United Kingdom,,,,54.5,-4,"Extremely broad locality, coordinates are a very rough regional estimate",,North Forest,England,N. Forest,50.87652,-1.63146,,433323.675,433323.675
10809361,low,100000,estimated,United Kingdom,United Kingdom,,,Broml,54.5,-4,"Extremely limited locality information, 'Broml' unverified/unconfirmed place name",,,,Broml,51.406,0.0132,1.7,436478.3437,433078.3437
10265732,low,50000,estimated,United Kingdom,United Kingdom,,,L.hmpt,54.5,-4,"Partial/truncated locality abbreviation, coordinates are very broad regional estimate",,,England,L.hmpt,50.8111,-0.5387,3.5,471842.2128,464842.2128
10810102,low,50000,estimated,United Kingdom,United Kingdom,,,H. Bay,54.5,-4,"Extremely limited locality information, coordinates are regional estimate",,,England,H. Bay,51.3709,1.1278,3.4,488804.473,482004.473
10807895,low,10000,estimated,United Kingdom,United Kingdom,,,Strove Hundred,52.3555,-1.1581,"Coordinates estimated for historical administrative division 'Strove Hundred', precise location uncertain",Historically associated with medieval administrative division 'Strove Hundred',,England,Strove Hd.,55.22593,-6.92876,,495258.3323,495258.3323
10809540,medium,2000,estimated,United Kingdom,United Kingdom,,,Croy,55.9527,-4.0367,"Coordinates estimated for village of Croy in North Lanarkshire, Scotland",North Lanarkshire,,Scotland,Croy,51.3762,-0.0982,4.8,571002.4902,561402.4902
